condition,run,seed,step,action,reward,score,info
simple,0,0,0,"('combine', 9, 13)",0,0,{'feedback': 'invalid combine'}
simple,0,0,1,"('combine', 5, 3)",0,0,{'feedback': 'invalid combine'}
simple,0,0,2,"('combine', 14, 4)",0,0,{'feedback': 'invalid combine'}
simple,0,0,3,"('combine', 9, 7)",0,0,{'feedback': 'invalid combine'}
simple,0,0,4,"('combine', 5, 14)",0,0,{'feedback': 'invalid combine'}
simple,0,0,5,"('combine', 11, 14)",0,0,{'feedback': 'invalid combine'}
simple,0,0,6,"('combine', 11, 12)",0,0,{'feedback': 'invalid combine'}
simple,0,0,7,"('combine', 1, 4)",0,0,{'feedback': 'invalid combine'}
simple,0,0,8,"('combine', 0, 15)",0,0,{'feedback': 'invalid combine'}
simple,0,0,9,"('combine', 8, 4)",0,0,{'feedback': 'invalid combine'}
simple,0,0,10,"('combine', 6, 5)",0,0,{'feedback': 'invalid combine'}
simple,0,0,11,"('combine', 11, 14)",0,0,{'feedback': 'invalid combine'}
simple,0,0,12,"('consume', 10)",1,1,{}
simple,0,0,13,"('combine', 7, 0)",0,1,{'feedback': 'invalid combine'}
simple,0,0,14,"('combine', 5, 2)",0,1,{'feedback': 'invalid combine'}
simple,0,0,15,"('combine', 3, 4)",0,1,{'feedback': 'invalid combine'}
simple,0,0,16,"('combine', 15, 13)",0,1,{'feedback': 'invalid combine'}
simple,0,0,17,"('combine', 9, 13)",0,1,{'feedback': 'invalid combine'}
simple,0,0,18,"('combine', 16, 7)",0,1,{'feedback': 'invalid combine'}
simple,0,0,19,"('combine', 12, 4)",0,1,{'feedback': 'invalid combine'}
simple,0,0,20,"('combine', 6, 3)",0,1,{'feedback': 'invalid combine'}
simple,0,0,21,"('combine', 1, 8)",0,1,{'feedback': 'invalid combine'}
simple,0,0,22,"('consume', 5)",1,2,{}
simple,0,0,23,"('combine', 2, 1)",0,2,{'feedback': 'invalid combine'}
simple,0,0,24,"('combine', 3, 13)",0,2,{'feedback': 'invalid combine'}
simple,0,0,25,"('combine', 6, 16)",0,2,{'feedback': 'invalid combine'}
simple,0,0,26,"('consume', 11)",1,3,{}
simple,0,0,27,"('combine', 9, 7)",0,3,{'feedback': 'invalid combine'}
simple,0,0,28,"('combine', 6, 3)",0,3,{'feedback': 'invalid combine'}
simple,0,0,29,"('combine', 18, 14)",0,3,{'feedback': 'invalid combine'}
simple,0,0,30,"('combine', 4, 18)",0,3,{'feedback': 'invalid combine'}
simple,0,0,31,"('combine', 16, 6)",0,3,{'feedback': 'invalid combine'}
simple,0,0,32,"('combine', 13, 3)",0,3,{'feedback': 'invalid combine'}
simple,0,0,33,"('combine', 0, 12)",0,3,{'feedback': 'invalid combine'}
simple,0,0,34,"('combine', 13, 2)",0,3,{'feedback': 'invalid combine'}
simple,0,0,35,"('combine', 13, 0)",0,3,{'feedback': 'invalid combine'}
simple,0,0,36,"('combine', 0, 2)",0,3,"{'new_object': {'id': 19, 'shape': 'square', 'texture': 'striped', 'color': 'yellow'}}"
simple,0,0,37,"('combine', 13, 15)",0,3,"{'new_object': {'id': 20, 'shape': 'diamond', 'texture': 'checkered', 'color': 'yellow'}}"
simple,0,0,38,"('combine', 12, 18)",0,3,{'feedback': 'invalid combine'}
simple,0,0,39,"('combine', 14, 19)",0,3,{'feedback': 'invalid combine'}
